Controversial Flag,Planet Name,Host Name,Planet Letter,Number of Stars,Number of Planets,Circumbinary Flag,Discovery Method,Discovery Year,Discovery Locale,Detections by Radial Velocity Variations,Detected by Transits,Detected by Imaging,Orbital Period (years),Orbit Semi-Major Axis (au),Planet Radius (Earth Radius),Planet Mass (Earth Mass),Planet Density (g/cm**3),Eccentricity,Equilibrium Temperature (K),Inclination (deg),Transit Depth (%),Transit Duration (hrs),Ratio of Semi-Major Axis to Stellar Radius,Radial Velocity Amplitude (m/s),Spectral Type,Stellar Effective Temperature (K),Stellar Radius (Solar Radius),Stellar Mass (Solar mass),Stellar Metallicity (Solar Metallicity),Stellar Luminosity (log10(Solar)),Stellar Surface Gravity (log10(m/s^2)),Stellar Age (Gyr),Stellar Density (g/cm**3),Stellar Rotational Period (days),Systemic Radial Velocity (km/s),Total Proper Motion (mas/yr),Distance (ly),RA,Dec,U,B,G,V,R,I,Z,J,H,K,W1,W2,W3,W4,Spectral Class,Luminosity Class,Temperature Subscore,Eccentricity Subscore,Number of Stars Subscore,Habitability Score
0,K2-177 b,K2-177,b,1,1,0,Transit,2018,Space,0,1,0,0.039,,2.116,5.13,2.97,,,87.22,,,0.01599,,nan,6063.0,1.21,1.21,2.5704,0.342,2.38,,0.3326,,19.77,11.5647267,1605.2322,55.2296156,20.7360891,,13.541,,12.681,,,,11.009,10.675,10.593,10.533,10.562,10.585,8.821,-,---,0.1,0.1,1.0,0.0
0,K2-178 b,K2-178,b,1,1,0,Transit,2018,Space,0,1,0,0.024,,3.558,12.4,1.51,,,88.611,0.1449,3.4272,0.03676,,nan,5525.0,0.89,0.95,1.2303,-0.284,2.55,,2.14054,,0.39,13.1765928,700.4298,52.8888524,22.4348186,,13.276,,12.382,,,,10.786,10.426,10.292,10.262,10.293,10.233,8.793,-,---,0.1,0.1,1.0,0.0
0,K2-179 b,K2-179,b,1,1,0,Transit,2018,Space,0,1,0,0.014,,2.513,6.86,2.38,,,88.755,0.0964,1.7664,0.02999,,nan,5015.0,0.77,0.82,1.0715,-0.523,2.63,,3.34951,,-1.93,25.7068866,622.3383,58.7967878,23.7567524,,14.01,,12.939,,,,11.138,10.633,10.555,10.5,10.549,10.407,8.519,-,---,0.1,0.1,1.0,0.0
0,K2-18 b,K2-18,b,1,2,0,Transit,2015,Space,1,1,0,0.09,0.1429,2.37,8.92,4.11,0.2,284.0,89.579,0.3098,2.682,0.05375,3.55,M2.5 V,3457.0,0.41,0.36,1.3183,-1.597,2.79,,7.07318,39.63,0.65,155.5222618,124.026,172.560141,7.5878315,16.7222,14.991,15.1354,13.477,13.0855,11.8579,11.5166,9.763,9.135,8.899,8.769,8.668,8.552,8.587,M,V,0.868490344385,0.999999997939,1.0,0.868490342595
1,K2-18 c,K2-18,c,1,2,0,Radial Velocity,2017,Ground,1,0,0,0.025,0.06,2.65,7.51,2.22,0.47,363.0,,,,,4.63,M2.5 V,3457.0,0.41,0.36,1.2303,-1.597,2.79,,7.07318,38.6,0.65,155.5222618,124.026,172.560141,7.5878315,16.7222,14.991,15.1354,13.477,13.0855,11.8579,11.5166,9.763,9.135,8.899,8.769,8.668,8.552,8.587,M,V,0.855534775237,0.998498817743,1.0,0.854250461613
0,K2-180 b,K2-180,b,1,1,0,Transit,2018,Space,1,1,0,0.024,0.0734,2.52,11.44182,5.6,0.0,802.0,88.9,0.1189,2.98,0.032,4.4,K2 V,5306.0,0.72,0.72,0.3162,-0.439,2.57,9.5,3.039,15.7,-76.86,131.9404907,665.019,126.4643579,10.246577,15.2991,13.334,15.3888,12.557,14.9587,14.5213,13.6846,11.146,10.747,10.677,10.619,10.667,10.599,8.927,K,V,0.001,1.0,1.0,0.0
0,K2-181 b,K2-181,b,1,1,0,Transit,2018,Space,0,1,0,0.019,0.0706,2.84,8.45,2.03,,962.0,88.616,0.0828,2.6712,0.0244,,nan,5608.0,1.07,0.99,1.6982,-0.013,2.38,,2.639,,-60.38,37.3382669,1177.1329,127.5541103,10.9101444,15.2847,13.502,15.244,12.669,12.6189,12.4471,13.3819,11.438,11.082,11.026,10.999,11.062,11.041,8.319,-,---,0.001,0.1,1.0,0.0
0,K2-182 b,K2-182,b,1,1,0,Transit,2018,Space,0,1,0,0.013,0.0526,2.69,20.0,5.6,0.04,969.0,89.4,0.1178,2.561,0.03111,8.4,nan,5170.0,0.79,0.86,1.3183,-0.408,2.61,2.07,2.256,,22.98,65.1770947,504.9873,130.180046,10.9829509,15.247,12.868,12.5567,11.833,11.7948,11.5542,11.853,10.408,9.994,9.913,9.845,9.917,9.896,9.044,-,---,0.001,0.999999999999,1.0,0.0
0,K2-183 b,K2-183,b,1,3,0,Transit,2018,Space,0,1,0,0.001,,1.1,1.37,5.66,,,90.1,0.02152,1.5408,0.0117,,nan,5482.0,0.87,0.94,1.2303,-0.138,2.6,,1.47406,,92.34,4.0098553,1073.187,125.007177,14.0194586,15.455,13.632,13.3815,12.867,12.7163,12.5605,13.4304,11.485,11.152,11.021,10.997,11.058,11.082,8.356,-,---,0.1,0.1,1.0,0.0
0,K2-183 c,K2-183,c,1,3,0,Transit,2018,Space,0,1,0,0.03,0.0932,2.3,5.9,2.66,,787.0,90.5,0.0901,3.8496,0.0242,,nan,5482.0,0.87,0.94,1.2303,-0.132,2.6,,1.47406,,92.34,4.0098553,1073.187,125.007177,14.0194586,15.455,13.632,13.3815,12.867,12.7163,12.5605,13.4304,11.485,11.152,11.021,10.997,11.058,11.082,8.356,-,---,0.001,0.1,1.0,0.0
0,K2-183 d,K2-183,d,1,3,0,Transit,2018,Space,0,1,0,0.062,0.1527,2.3,5.9,2.66,,615.0,89.9,0.0947,4.92,0.0244,,nan,5482.0,0.87,0.94,1.2303,-0.138,2.6,,1.47406,,92.34,4.0098553,1073.187,125.007177,14.0194586,15.455,13.632,13.3815,12.867,12.7163,12.5605,13.4304,11.485,11.152,11.021,10.997,11.058,11.082,8.356,-,---,0.001,0.1,1.0,0.0
0,K2-184 b,K2-184,b,1,1,0,Transit,2018,Space,0,1,0,0.046,0.1685,1.47,2.76,4.77,,533.0,89.466,0.037,2.4912,0.018,,nan,5245.0,0.75,0.84,0.7943,-0.399,2.62,,2.77926,,-33.64,90.6855881,246.5273,129.1405227,14.4618826,,11.226,,10.345,,,,8.92,8.513,8.38,8.336,8.385,8.375,8.431,-,---,0.0147722339414,0.1,1.0,0.0
0,K2-185 b,K2-185,b,1,2,0,Transit,2018,Space,0,1,0,0.029,,1.15,1.6,5.78,,809.0,88.932,0.0162,2.6,0.0111,,nan,5788.0,0.94,0.96,0.7943,-0.09,2.48,,2.1067,17.35,-7.04,24.1994031,875.2625,130.2596625,14.6902225,15.0393,12.878,12.6014,12.235,12.1465,12.0216,13.3747,11.066,10.749,10.68,10.628,10.667,10.667,8.29,-,---,0.001,0.1,1.0,0.0
0,K2-185 c,K2-185,c,1,2,0,Transit,2018,Space,0,1,0,0.144,,2.39,6.3,2.54,,477.0,89.003,0.0757,4.64,0.0232,,nan,5788.0,0.94,0.96,0.7943,-0.09,2.48,,2.1067,17.35,-7.04,24.1994031,875.2625,130.2596625,14.6902225,15.0393,12.878,12.6014,12.235,12.1465,12.0216,13.3747,11.066,10.749,10.68,10.628,10.667,10.667,8.29,-,---,0.103244637725,0.1,1.0,0.0
0,K2-186 b,K2-186,b,1,1,0,Transit,2018,Space,0,1,0,0.114,,3.172,10.2,1.76,,,89.524,0.098,6.12,0.02965,,nan,5784.0,0.98,1.02,1.1482,0.05,2.45,,1.18284,,-13.7,37.5708768,1078.7251,135.3350487,18.8252879,14.7862,12.944,12.6421,12.413,12.2196,12.1009,12.8157,11.142,10.84,10.774,10.733,10.762,10.621,8.145001,-,---,0.1,0.1,1.0,0.0
0,K2-187 b,K2-187,b,1,4,0,Transit,2018,Space,0,1,0,0.002,0.0164,1.2,1.87,5.95,,1815.0,89.7,0.0237,1.5792,0.0132,,nan,5438.0,0.83,0.97,1.0,-0.21,2.6,,1.6823,,,32.9140281,1079.3024,132.5235618,23.1924709,15.6548,13.986,13.5671,13.102,12.9476,12.7502,13.3229,11.687,11.289,11.196,11.169,11.235,11.069,8.362001,-,---,0.001,0.1,1.0,0.0
0,K2-187 c,K2-187,c,1,4,0,Transit,2018,Space,0,1,0,0.008,0.0392,1.4,2.54,5.09,,1173.0,90.4,0.039,2.376,0.0154,,nan,5438.0,0.83,0.97,1.0,-0.21,2.6,,1.6823,,,32.9140281,1079.3024,132.5235618,23.1924709,15.6548,13.986,13.5671,13.102,12.9476,12.7502,13.3229,11.687,11.289,11.196,11.169,11.235,11.069,8.362001,-,---,0.001,0.1,1.0,0.0
